"Tv Languedoc","http://dbpedia.org/resource/Languedoc"
"Conseil général de la Gironde","http://dbpedia.org/resource/De_La_Soul,http://dbpedia.org/resource/Gironde"
"Haute Autorité pour la diffusion des œuvres et la protection des droits sur internet (HADOPI)","http://dbpedia.org/resource/Haute-Savoie,http://dbpedia.org/resource/Rain,http://dbpedia.org/resource/Diffusion,http://dbpedia.org/resource/Deep_Ecliptic_Survey,http://dbpedia.org/resource/Protectionism,http://dbpedia.org/resource/Deep_Ecliptic_Survey,http://dbpedia.org/resource/TeleSUR,http://dbpedia.org/resource/Internet"
"Direction Départementale des Territoires de Haute-Saône","http://dbpedia.org/resource/Directionality_%28molecular_biology%29,http://dbpedia.org/resource/Deep_Ecliptic_Survey,http://dbpedia.org/resource/Haute-Sa%C3%B4ne"
"Les Républicains du Var","http://dbpedia.org/resource/Var_%28department%29"
"Open Corporates","http://dbpedia.org/resource/Open-source_software,http://dbpedia.org/resource/Corporate_bond"
"Mairie de Seilh","http://dbpedia.org/resource/Seat_of_local_government"
"Direction Régionale et Interdépartementale de l'Équipement et de l'Aménagement d'Île-de-France","http://dbpedia.org/resource/Directionality_%28molecular_biology%29,http://dbpedia.org/resource/%C3%8Ele-de-France_%28region%29"
"École nationale supérieure des métiers de l'image et du son (La Fémis)","http://dbpedia.org/resource/Deep_Ecliptic_Survey,http://dbpedia.org/resource/Son"
"Agence d'Urbanisme de Rouen et des Boucles de Seine et Eure","http://dbpedia.org/resource/Rouen,http://dbpedia.org/resource/Deep_Ecliptic_Survey,http://dbpedia.org/resource/Seine,http://dbpedia.org/resource/Eure"
"Premier ministre","http://dbpedia.org/resource/Premier_%28Canada%29"
"Ministère des finances et des comptes publics","http://dbpedia.org/resource/Data_Encryption_Standard,http://dbpedia.org/resource/Finance,http://dbpedia.org/resource/Data_Encryption_Standard,http://dbpedia.org/resource/Public"
"Direction Régionale de l'Environnement, de l'Aménagement et du Logement du Languedoc-Roussillon","http://dbpedia.org/resource/Directionality_%28molecular_biology%29,http://dbpedia.org/resource/Languedoc-Roussillon"
"Observatoire Régional de l'Environnement Poitou-Charentes","http://dbpedia.org/resource/Poitou-Charentes"
"Barnes Cote Basque","http://dbpedia.org/resource/Barnes_County,_North_Dakota,http://dbpedia.org/resource/Basque_people"
"Open PACA","http://dbpedia.org/resource/Provence-Alpes-C%C3%B4te_d%27Azur"
"IRDES & ECOSANTE.FR : Institut de Recherche et Documentation en Economie de la Santé","http://dbpedia.org/resource/Documentation,http://dbpedia.org/resource/De_La_Soul"
"Autorité de régulation des communications électroniques et des postes (ARCEP)","http://dbpedia.org/resource/Data_Encryption_Standard,http://dbpedia.org/resource/Communication,http://dbpedia.org/resource/Data_Encryption_Standard"
"Direction Régionale de l'Environnement, de l'Aménagement et du Logement de Bretagne","http://dbpedia.org/resource/Directionality_%28molecular_biology%29,http://dbpedia.org/resource/Brittany"
"JCDecaux developer","http://dbpedia.org/resource/Software_developer"
"Syndicat de la presse indépendante d'information en ligne","http://dbpedia.org/resource/De_La_Soul"
"Agence Nationale de Sécurité du Médicament et des produits de santé (ANSM)","http://dbpedia.org/resource/Deep_Ecliptic_Survey"
"Caisse nationale de l'assurance maladie des travailleurs salariés","http://dbpedia.org/resource/Caisse_de_d%C3%A9p%C3%B4t_et_placement_du_Qu%C3%A9bec,http://dbpedia.org/resource/Deep_Ecliptic_Survey"
"Agence de l'eau Rhône-Méditerranée et Corse","http://dbpedia.org/resource/Eau_de_Cologne,http://dbpedia.org/resource/Rh%C3%B4ne_%28department%29,http://dbpedia.org/resource/Corse-du-Sud"
"Agence Technique de l'information sur l'Hospitalisation (ATIH)","http://dbpedia.org/resource/TeleSUR"
"Direction Départementale des Territoires de la Corrèze","http://dbpedia.org/resource/Directionality_%28molecular_biology%29,http://dbpedia.org/resource/Deep_Ecliptic_Survey,http://dbpedia.org/resource/De_La_Soul,http://dbpedia.org/resource/Corr%C3%A8ze"
"POD - Product Open Data","http://dbpedia.org/resource/Print_on_demand,http://dbpedia.org/resource/Product_%28business%29,http://dbpedia.org/resource/Open-source_software,http://dbpedia.org/resource/Data"
"Renault sas","http://dbpedia.org/resource/San_Antonio_Spurs"
"Montpellier Territoire Numérique","http://dbpedia.org/resource/Montpellier"
"DRIEA, Sit@del 2","http://dbpedia.org/resource/Stevens_Institute_of_Technology,http://dbpedia.org/resource/Del_Boy"
"Communauté d agglomération de Saint  Quentin en Yvelines","http://dbpedia.org/resource/Urban_agglomeration"
"Conseil général de la Manche","http://dbpedia.org/resource/De_La_Soul,http://dbpedia.org/resource/Manche"
"SAINT-MALO AGGLOMERATION","http://dbpedia.org/resource/Saint-Malo,http://dbpedia.org/resource/Urban_agglomeration"
"DIRECTION DEPARTEMENTALE DES TERRITOIRES DE SAONE-ET-LOIRE (71)","http://dbpedia.org/resource/Directionality_%28molecular_biology%29,http://dbpedia.org/resource/Deep_Ecliptic_Survey,http://dbpedia.org/resource/Sa%C3%B4ne-et-Loire"
"Établissement public du château, du musée et du domaine national de Versailles","http://dbpedia.org/resource/Public,http://dbpedia.org/resource/Ch%C3%A2teau,http://dbpedia.org/resource/National_museum,http://dbpedia.org/resource/Palace_of_Versailles"
"Région Provence-Alpes-Côte d'Azur - MV2","http://dbpedia.org/resource/Regions_of_France,http://dbpedia.org/resource/Provence-Alpes-C%C3%B4te_d%27Azur"
"Direction Départementale des Territoires de Lot-et-Garonne","http://dbpedia.org/resource/Directionality_%28molecular_biology%29,http://dbpedia.org/resource/Deep_Ecliptic_Survey,http://dbpedia.org/resource/Lot-et-Garonne"
"Nettoyage Nice","http://dbpedia.org/resource/The_Nice"
"Conseil national du numérique","http://dbpedia.org/resource/National_museum"
"Mairie de Toulouse","http://dbpedia.org/resource/Seat_of_local_government,http://dbpedia.org/resource/Toulouse_FC_%281937%29"
"Mairie de Balma","http://dbpedia.org/resource/Seat_of_local_government"
"Établissement public du musée d'Orsay et du musée de l'Orangerie","http://dbpedia.org/resource/Public,http://dbpedia.org/resource/Mus%C3%A9e_d%27Orsay"
"Ville de Montpellier","http://dbpedia.org/resource/Montpellier"
"Communauté d'agglomération Caen la mer","http://dbpedia.org/resource/Caen,http://dbpedia.org/resource/The_Fragile"
"Mégalis Bretagne","http://dbpedia.org/resource/Brittany_%28administrative_region%29"
"Commission d’accès aux documents administratifs (CADA)","http://dbpedia.org/resource/Commission_%28remuneration%29,http://dbpedia.org/resource/Auxerre,http://dbpedia.org/resource/Document"
"Département de l'information et de la communication","http://dbpedia.org/resource/Department_%28country_subdivision%29,http://dbpedia.org/resource/De_La_Soul,http://dbpedia.org/resource/Communication_theory"
"Centre national du cinéma et de l'image animée","http://dbpedia.org/resource/Center_%28basketball%29,http://dbpedia.org/resource/National_museum"
"CNR","http://dbpedia.org/resource/Consiglio_Nazionale_delle_Ricerche"
"Centre National des Œuvres Universitaires et Scolaires","http://dbpedia.org/resource/Centre_%28ice_hockey%29,http://dbpedia.org/resource/National_museum,http://dbpedia.org/resource/Deep_Ecliptic_Survey"
